Date,VOLATILITY_30D,NEWS_SENTIMENT_DAILY_AVG,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,RSI_14D,RSI_30D,PX_TO_EBITDA,PX_TO_CASH_FLOW,REL_5D
07/09/2013,21.008,0.3602,#N/A N/A,#N/A N/A,#N/A N/A,50.8251,47.4694,7.068,7.4732,-1.809
07/10/2013,20.811,0.1252,#N/A N/A,#N/A N/A,#N/A N/A,49.5725,46.9659,7.0409,7.4445,-2.072
07/11/2013,20.863,-0.2499,#N/A N/A,#N/A N/A,#N/A N/A,54.4648,49.2214,7.1506,7.5606,-0.76
07/12/2013,20.852,0.1494,#N/A N/A,#N/A N/A,#N/A N/A,53.798,48.9659,7.1376,7.5468,0.412
07/15/2013,20.851,-0.1867,#N/A N/A,#N/A N/A,#N/A N/A,54.5149,49.2915,7.1532,7.5633,0.403
07/16/2013,20.992,0.1572,#N/A N/A,#N/A N/A,#N/A N/A,56.6602,50.2639,7.1993,7.612,0.556
07/17/2013,20.853,0.0564,#N/A N/A,#N/A N/A,#N/A N/A,56.7519,50.305,7.2012,7.6141,0.188
07/18/2013,20.439,0.151,#N/A N/A,#N/A N/A,#N/A N/A,57.9581,50.8349,7.2254,7.6397,-1.066
07/19/2013,20.779,0.2071,#N/A N/A,#N/A N/A,#N/A N/A,50.7864,48.3286,7.1115,7.5192,-1.031
07/22/2013,20.755,0.1565,#N/A N/A,#N/A N/A,#N/A N/A,52.0625,48.8498,7.1343,7.5433,-3.533
07/23/2013,21.318,0.3526,#N/A N/A,#N/A N/A,#N/A N/A,45.26,46.2524,7.0118,7.4138,2.065
07/24/2013,26.037,0.3232,#N/A N/A,#N/A N/A,#N/A N/A,61.2783,53.7339,7.3719,7.7945,1.509
07/25/2013,25.96,0.4735,#N/A N/A,#N/A N/A,#N/A N/A,59.5262,53.0208,7.3383,7.759,3.802
07/26/2013,25.644,0.2757,#N/A N/A,#N/A N/A,#N/A N/A,61.0134,53.8064,7.3799,7.803,5.674
07/29/2013,25.988,0.0258,#N/A N/A,#N/A N/A,#N/A N/A,64.8155,55.8902,7.4937,7.9233,8.606
07/30/2013,26.189,0.0627,#N/A N/A,#N/A N/A,#N/A N/A,67.5842,57.5031,7.5863,8.0212,2.741
07/31/2013,25.299,0.0963,#N/A N/A,#N/A N/A,#N/A N/A,66.7758,57.194,7.5731,8.0072,3.131
08/01/2013,24.813,0.066,#N/A N/A,#N/A N/A,#N/A N/A,68.8796,58.4076,7.6424,8.0806,3.781
08/02/2013,24.724,0.0543,#N/A N/A,#N/A N/A,#N/A N/A,71.6172,60.0642,7.7406,8.1843,3.498
08/05/2013,23.004,0.0416,#N/A N/A,#N/A N/A,#N/A N/A,74.4674,61.9134,7.8562,8.3066,1.942
08/06/2013,23.356,0.3252,#N/A N/A,#N/A N/A,#N/A N/A,69.8744,60.1618,7.7859,8.2323,2.436
08/07/2013,22.871,0.2929,#N/A N/A,#N/A N/A,#N/A N/A,69.5773,60.0488,7.7814,8.2275,1.507
08/08/2013,22.732,-0.1309,#N/A N/A,#N/A N/A,#N/A N/A,65.1883,58.3812,7.715,8.1573,-0.689
08/09/2013,23.481,-0.1494,#N/A N/A,#N/A N/A,#N/A N/A,58.6093,55.7354,7.6052,8.0412,0.596
08/12/2013,23.132,-0.0225,#N/A N/A,#N/A N/A,#N/A N/A,65.9025,59.4745,7.8212,8.2696,5.427
08/13/2013,25.814,-0.1271,#N/A N/A,#N/A N/A,#N/A N/A,74.2943,64.7706,8.1929,8.6626,7.56
08/14/2013,26.091,0.209,#N/A N/A,#N/A N/A,#N/A N/A,76.7698,66.5868,8.3424,8.8206,10.355
08/15/2013,25.831,0.1765,#N/A N/A,#N/A N/A,#N/A N/A,76.2474,66.353,8.3325,8.8102,12.912
08/16/2013,25.581,0.1615,#N/A N/A,#N/A N/A,#N/A N/A,77.4836,67.2444,8.4065,8.8884,11.505
08/19/2013,25.394,0.0225,#N/A N/A,#N/A N/A,#N/A N/A,78.9292,68.3074,8.497,8.9841,4.939
08/20/2013,25.895,0.2511,#N/A N/A,#N/A N/A,#N/A N/A,72.7296,65.5924,8.3854,8.8661,3.387
08/21/2013,25.745,0.1369,#N/A N/A,#N/A N/A,#N/A N/A,73.1685,65.8638,8.407,8.8889,1.28
08/22/2013,25.681,0.2196,#N/A N/A,#N/A N/A,#N/A N/A,73.3831,65.9929,8.417,8.8995,-0.721
08/23/2013,25.821,0.0544,#N/A N/A,#N/A N/A,#N/A N/A,71.3948,65.1686,8.3845,8.8652,-1.58
